==================================================
Task Execution Time : 2026-05-23 16:17:55
Task Identifier     : USA_G_60_current_0
Requested Target    : current
Actual Capture Date : 2024-07-30
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-115.910568), np.float64(41.38485899380945), np.float64(-115.87941199999999), np.float64(41.41299399382224))
Total Patches Found : 48
--------------------------------------------------
[Original Log Entries]
T12 ges_23335_80603_18.jpg: 2024-07-30 Ok
T13 ges_23335_80604_18.jpg: 2024-07-30 Ok
T14 ges_23335_80605_18.jpg: 2024-07-30 Ok
T15 ges_23335_80606_18.jpg: 2024-07-30 Ok
T16 ges_23335_80607_18.jpg: 2024-07-30 Ok
T18 ges_23335_80609_18.jpg: 2024-07-30 Ok
T17 ges_23335_80608_18.jpg: 2024-07-30 Ok
T19 ges_23335_80610_18.jpg: 2024-07-30 Ok
T20 ges_23335_80611_18.jpg: 2024-07-30 Ok
T21 ges_23335_80612_18.jpg: 2024-07-30 Ok
T22 ges_23335_80613_18.jpg: 2024-07-30 Ok
T23 ges_23335_80614_18.jpg: 2024-07-30 Ok
T36 ges_23337_80603_18.jpg: 2024-07-30 Ok
T37 ges_23337_80604_18.jpg: 2024-07-30 Ok
T38 ges_23337_80605_18.jpg: 2024-07-30 Ok
T39 ges_23337_80606_18.jpg: 2024-07-30 Ok
T40 ges_23337_80607_18.jpg: 2024-07-30 Ok
T41 ges_23337_80608_18.jpg: 2024-07-30 Ok
T42 ges_23337_80609_18.jpg: 2024-07-30 Ok
T43 ges_23337_80610_18.jpg: 2024-07-30 Ok
T44 ges_23337_80611_18.jpg: 2024-07-30 Ok
T46 ges_23337_80613_18.jpg: 2024-07-30 Ok
T45 ges_23337_80612_18.jpg: 2024-07-30 Ok
T47 ges_23337_80614_18.jpg: 2024-07-30 Ok
T0 ges_23334_80603_18.jpg: 2024-07-30 Ok
T1 ges_23334_80604_18.jpg: 2024-07-30 Ok
T3 ges_23334_80606_18.jpg: 2024-07-30 Ok
T2 ges_23334_80605_18.jpg: 2024-07-30 Ok
T4 ges_23334_80607_18.jpg: 2024-07-30 Ok
T5 ges_23334_80608_18.jpg: 2024-07-30 Ok
T6 ges_23334_80609_18.jpg: 2024-07-30 Ok
T7 ges_23334_80610_18.jpg: 2024-07-30 Ok
T8 ges_23334_80611_18.jpg: 2024-07-30 Ok
T10 ges_23334_80613_18.jpg: 2024-07-30 Ok
T9 ges_23334_80612_18.jpg: 2024-07-30 Ok
T24 ges_23336_80603_18.jpg: 2024-07-30 Ok
T11 ges_23334_80614_18.jpg: 2024-07-30 Ok
T25 ges_23336_80604_18.jpg: 2024-07-30 Ok
T27 ges_23336_80606_18.jpg: 2024-07-30 Ok
T26 ges_23336_80605_18.jpg: 2024-07-30 Ok
T28 ges_23336_80607_18.jpg: 2024-07-30 Ok
T29 ges_23336_80608_18.jpg: 2024-07-30 Ok
T30 ges_23336_80609_18.jpg: 2024-07-30 Ok
T32 ges_23336_80611_18.jpg: 2024-07-30 Ok
T31 ges_23336_80610_18.jpg: 2024-07-30 Ok
T33 ges_23336_80612_18.jpg: 2024-07-30 Ok
T34 ges_23336_80613_18.jpg: 2024-07-30 Ok
T35 ges_23336_80614_18.jpg: 2024-07-30 Ok


